order,rootWord,rootWordId,definition,partOfSpeech
1164,ص د ي,831,give attention,Verbal noun (form II)
1165,ق د و,1184,to follow,Verb (form VIII)
1166,ق ر ط س,1192,a parchment,Noun
1167,ز ل ق,627,surely make you slip,Noun
1168,و ب ق,1580,He could destroy them,Noun
1169,ج ب ب,216,(of) the well,Noun
1170,أ ل ل,57,kinship,Noun
1171,ر ق د,576,(were) asleep,Noun
1172,ف أ ي,1099,your forces,Noun
1173,ح س د,317,are they jealous,Noun
1174,خ ص ص,411,to choose,Verb (form VIII)
1175,ف س ح,1129,to make room,Verb (form I)
1176,ع ن ك ب,1030,the spider,Noun
1177,ذ ب ذ ب,503,Wavering,Passive participle (form II)
1178,ه د ه د,1546,the hoopoe,Noun
1179,ل ق ح,1343,fertilizing,Noun
1180,ر ب ح,525,to profit,Verb (form I)
1181,ش ط ط,775,be unjust,Noun
1182,ه ج د,1541,to arise from sleep for prayer,Verb (form V)
1183,ص و ع,870,(the) cup,Noun
1184,ف ص ح,1134,(is) more eloquent,Noun
1185,ف ت أ,1100,to cease,Verb (form I)
1186,ر د أ,546,(as) a helper,Noun
1187,ب ي د,170,to be perished,Verb (form I)
1188,ه ي ل,1575,pouring down,Passive participle
1189,ه د د,1544,(in) devastation,Noun
1190,ص ك ك,852,to strike,Verb (form I)
1191,ك ث ب,1258,a heap of sand,Noun
1192,س ر د,679,the links (of armor),Noun
1193,ق ص م,1208,to shatter,Verb (form I)
1194,ث ب ي,197,(in) groups,Noun
1195,ك ل أ,1284,to protect,Verb (form I)
1196,ض ن ك,894,straitened,Adjective
1197,ل ز ب,1328,sticky,Active participle
1198,م ش ج,1397,a mixture,Adjective
1199,ر ص ص,559,joined firmly,Passive participle
1200,ص م ت,859,remain silent,Active participle
1201,د ر ي,469,to know,Verb (form I)
1202,ص ب و,821,to incline,Verb (form I)
1203,ف ز ز,1127,"to incite, to scare, to drive out",Verb (form X)
1204,خ ف ت,422,to be silent,Verb (form III)
1205,ل ف و,1341,to find,Verb (form IV)
1206,ص ر ص ر,835,furious,Adjective
1207,ص ف ح,845,to overlook,Verb (form I)
1208,د ر س,466,"to study, to learn",Verb (form I)
1209,ر أ س,521,your heads,Noun
1210,ع ر ش,974,erect,Noun
1211,ن و ق,1533,(is) a she-camel,Noun
1212,ر أ ف,522,pity for them,Nominal (Noun)
1213,ش ط ر,774,towards the direction,Location adverb
1214,ط م ن,927,"to be satisfied, to be secure, to be content",Verb (form XII)
1215,ر ق ب,575,they do not regard (the ties),Noun
1216,ع ص ف,994,forcefully,Active participle (Adjective)
1217,ث ل ث,206,(is the) third,Nominal (Noun)
1218,د ه ر,489,the time,Noun
1219,ب ز غ,121,rising,Active participle
1220,د خ ن,462,smoke,Noun
1221,ج ر د,236,and the locusts,Noun
1222,ت و ر,191,another time,Noun
1223,ح ف ف,340,to border,Verb (form I)
1224,ف ر د,1117,alone,Noun
1225,ع ن ت,1027,to put into difficulty,Verb (form IV)
1226,ب غ ض,144,the hatred,Noun
1227,ح ب ط,287,to become worthless,Verb (form I)
1228,س ب ط,652,and the descendants,Noun
1229,ر ص د,558,waiting,Noun
1230,و ف ق,1632,to cause reconciliation,Verb (form II)
1231,ك ل ب,1285,(of) the dog,Active participle (form II)
1232,م ر ر,1385,"to pass, to continue",Verb (form I)
1233,ط ي ن,938,[the] clay,Noun
1234,خ ط ب,418,address Me,Noun
1235,ك ن ن,1297,to conceal,Verb (form IV)
1236,ز ج و,613,drives,Passive participle (form IV)
1237,أ س س,42,to found,Verb (form II)
1238,ف خ ر,1111,like the pottery,Adjective
1239,أ د ي,25,"to discharge, to deliver",Verb (form II)
1240,ن ص ف,1478,then (give) half,Nominal (Noun)
1241,ب ر ج,111,display yourselves,Noun
1242,ح ب ل,289,to (the) rope,Noun
1243,ع ص ر,993,pressing,Verbal noun (form IV)
1244,ش ح ح,758,(by) greed,Nominal (Noun)
1245,ل ي ن,1365,"to deal gently, to relax",Verb (form I)
1246,خ ر ر,399,to fall,Verb (form I)
1247,م ه ل,1422,and allow them respite ,Noun
1248,ذ ر أ,505,"to create, to produce, to multiply",Verb (form I)
1249,س ح ت,665,lest He will destroy you,Noun
1250,ب و ل,168,(is the) case,Noun
1251,ه و ر,1569,to collapse,Verb (form VII)
1252,ذ ب ب,501,a fly,Noun
1253,ه م س,1564,a faint sound,Noun
1254,ج ث ث,223,to uproot,Verb (form VIII)
1255,ف ض و,1140,to go,Verb (form IV)
1256,ت ي ه,193,to wander,Verb (form I)
1257,ز ح ف,615,advancing,Noun
1258,ب ط أ,132,to lag behind,Verb (form II)
1259,ج ف و,252,to forsake,Verb (form I)
1260,خ ط ط,419,to write,Verb (form I)
1261,ف و ض,1163,to entrust,Verb (form II)
1262,ن ح ت,1447,to carve,Verb (form I)
1263,ب أ ر,91,and well,Noun
1264,ع ف ر,1006,a strong one,Noun
1265,ن ق ذ,1507,to save,Verb (form IV)
1266,ف د ي,1112,to ransom,Verb (form III)
1267,س ت ت,657,(of) sixty,Noun
1268,ب ط ر,133,which exulted,Noun
1269,ر ك س,583,"to cast back, to plunge",Verb (form IV)
1270,ح ن ج ر,358,the throats,Noun
1271,ك ي ن,1310,"to give in, to submit",Verb (form X)
1272,و ط أ,1623,"to step, to trod, to trample",Verb (form I)
1273,ع ر و,978,have seized you,Noun
1274,و ت ر,1583,will deprive you,Noun
1275,ص خ ر,825,the rocks,Noun
1276,ب ه م,164,the quadruped,Noun
1277,و ث ن,1586,the idols,Noun
1278,ش أ ن,753,any situation,Noun
1279,م ي ز,1431,"to sepearte, to distinguish, to stand apart",Verb (form I)
1280,ق ص و,1209,(the) farthest end,Adjective
1281,ق ف و,1221,"to send, to follow",Verb (form II)
1282,ح و ت,364,their fish,Noun
1283,ك م م,1292,their coverings,Noun
1284,ز خ ر ف,616,(with) decorative,Noun
1285,ج ر ح,235,you committed,Noun
1286,أ ف ف,50,uff,Noun
1287,ض ي ع,900,"to let go waste, to neglect",Verb (form IV)
1288,ل م م,1351,"to bring forward, to come",Verb (form I)
1289,و د ي,1599,the valleys,Noun
1290,ن و م,1534,your dream,Noun
1291,ح س س,319,"to inquire, to kill",Verb (form I)
1292,خ ض ر,415,[the] green ,Noun
1293,ح و ج,365,(it was) a need,Noun
1294,ص ب أ,815,and the Sabians ,Active participle
1295,ح د ق,299,gardens,Noun
1296,ع ث و,958,"to act wickedly, to commit evil",Verb (form I)
1297,غ ر ف,1056,to take,Verb (form VIII)
1298,س ح ق,667,so away with,Adjective
1299,ل م ح,1348,as a twinkling,Noun
1300,خ و ر,442,(had) a lowing sound,Verbal noun
1301,و ج ف,1590,to make expedition,Verb (form IV)
1302,م ح ن,1375,"to test, to examine",Verb (form VIII)
1303,ع ي ي,1047,to tire,Verb (form I)
1304,ج ذ ذ,232,(into) pieces,Passive participle
1305,ج ل ب,253,to raise,Verb (form IV)
1306,ر ع د,564,and thunder,Noun
1307,س ع د,690,to be glad,Verb (form I)
1308,ص ب ع,819,their fingers,Noun
1309,أ و ه,86,(was) compassionate,Noun
1310,ب و أ,165,"to incur, to turn back",Verb (form I)
1311,س ح ب,664,they will be dragged,Noun
1312,غ ن م,1085,you obtain (as) spoils of war,Noun
1313,ر ذ ل,551,(are) the lowest of us,Noun
1314,ي ب س,1655,dry,Active participle
1315,د ر ر,465,brilliant,Noun
1316,ن م ل,1522,the finger tips,Noun
1317,أ م د,68,"distance, time, term",Noun
1318,ط و ق,933,to afford,Verb (form IV)
1319,س م ن,725,it nourishes,Adjective
1320,و ر ق,1603,with this silver coin of yours,Noun
1321,ص ن و,865,trees (growing) from a single root,Noun
1322,ز و د,639,to take provision,Verb (form V)
1323,خ ب أ,382,the hidden,Noun
1324,ح ي ف,378,to be unjust,Verb (form I)
1325,س ك ت,706,to calm,Verb (form I)
1326,ل ح ن,1323,(the) tone,Noun
1327,ط ر ح,906,to cast,Verb (form I)
1328,ن ح ب,1446,his vow,Noun
1329,ر ك د,581,motionless,Noun
1330,ر د م,549,a barrier,Noun
1331,أ ذ ي,30,"ailment, trouble, hurt",Noun
1332,ب ث ث,96,to disperse,Verb (form I)
1333,ع ق د,1010,pledged,Noun
1334,م و ج,1425,to surge,Noun
1335,ط ف ق,916,to begin,Verb (form I)
1336,ف ت ر,1102,they slacken,Noun
1337,ق ر ع,1193,a disaster,Noun
1338,خ و ن,446,to deceive,Verb (form VIII)
1339,ع ف ف,1007,then he should refrain,Verbal noun (form V)
1340,ب ع ل,142,And their husbands,Noun
1341,و ب ل,1581,heavy rain,Noun
1342,ق و ت,1242,its sustenance,Active participle (form IV)
1343,س ر م د,685,continuous,Noun
1344,ث خ ن,199,"to battle, to subdue",Verb (form IV)
1345,خ ر د ل,398,a mustard,Noun
1346,ق ي ض,1248,"to appoint, to destine",Verb (form II)
1347,ش ع ب,777,columns,Noun
1348,م خ ر,1377,ploughing,Noun
1349,ط ر و,910,fresh,Adjective
1350,غ ي ض,1096,"to subside, to fall short",Verb (form I)
1351,ح ص د,325,you reap,Noun
1352,س ل ف,714,to pass (before),Verb (form I)
1353,ح ر ض,308,"to urge, to encourage",Verb (form II)
1354,ذ ر و,508,to scatter,Verb (form I)
1355,س ل ح,710,their arms,Noun
1356,ز ب د,608,a foam,Noun
1357,ل ه ث,1353,to loll the tongue,Verb (form I)
1358,ع و ق,1038,those who hinder,Active participle (form II)
1359,و أ ل,1578,an escape,Noun
1360,م ك و,1411,whistling,Verbal noun
1361,ب ق ع,148,the place even,Noun
1362,ج ر ع,239,to sip,Verb (form V)
1363,ث ب ط,196,to make lag behind,Verb (form II)
1364,ع م ق,1021,distant,Adjective
1365,ش ع ل,779,to flare,Verb (form VIII)
1366,م خ ض,1378,the pains of childbirth,Noun
1367,ف ر ث,1114,bowels,Noun
1368,ط و د,929,like the mountain,Noun
1369,ش ر ط,768,its indications,Noun
1370,د س س,471,to bury,Verb (form I)
1371,ف ه م,1158,to give understanding,Verb (form II)
1372,ص ع ر,841,to turn,Verb (form II)
1373,ض م ر,892,lean camel,Active participle
1374,ح ب ر,285,will be delighted,Noun
1375,ز ي ت,642,its oil,Noun
1376,م ك ث,1408,"to stay, to remain",Verb (form I)
1377,د م ع,484,the tears,Noun
1378,ك س ل,1272,lazily,Noun
1379,م ط ر,1402,And We showered,Noun
1380,ه ز م,1553,to defeat,Verb (form I)
1381,ب ر ح,112,"to leave, to cease",Verb (form I)
1382,م أ ي,1366,(for) a hundred,Noun
1383,س ي ل,751,to flow,Verb (form I)
1384,ز ي ل,645,to cease,Verb (form I)
1385,د ك ك,478,and crushed,Verbal noun
1386,ج ب ه,221,their foreheads,Noun
1387,ص ر ع,837,fallen,Noun
1388,ع ط ف,1002,his neck,Noun
1389,ق ص ف,1207,a hurricane,Active participle
1390,ح ن ذ,359,roasted,Adjective
1391,ض ف د ع,890,and the frogs,Noun
1392,آزَر,2,Azar,Proper noun
1393,ج و و,280,the midst,Noun
1394,ق م ل,1233,and the lice,Noun
1395,ن ت ق,1440,to raise,Verb (form I)
1396,ك و ي,1306,to brand,Verb (form I)
1397,ح س م,320,(in) succession,Adjective
1398,ح ن ك,361,to destroy,Verb (form VIII)
1399,أ س ف,43,sorrowful,Noun
1400,ب ه ت,161,"to be bewildered, to be dumbfounded",Verb (form I)
1401,س ب غ,654,to bestow,Verb (form IV)
1402,ع ث ر,957,to discover,Verb (form I)
1403,ز ح ز ح,614,is drawn away,Active participle (form II)
1404,خ ر ب,396,they destroyed,Noun
1405,ح ج ز,295,a barrier,Noun
1406,ح ط ط,333,Repentance,Noun
1407,س ك ر,707,have been dazzled,Noun
1408,ب ي ض,171,would become white,Nominal (Adjective)
1409,ي أ س,1654,to despair,Verb (form I)
1410,ع و م,1040,year(s),Noun
1411,ط و ل,934,"Then, did seem long",Noun
1412,س ر ح,678,to release,Verb (form II)
1413,د و ر,494,to carry out,Verb (form IV)
1414,ه ي أ,1572,and facilitate,Noun
1415,م ل ل,1416,to dictate,Verb (form IV)
1416,س ف ك,697,to shed,Verb (form I)
1417,ك ل و,1290,both of them,Noun
1418,ظ ف ر,940,He gave you victory,Noun
1419,ع ي ل,1045,poverty,Noun
1420,خ ص ف,412,to fasten,Verb (form I)
1421,ع ر ر,973,and the needy who ask,Noun
1422,ح و ي,372,dark,Noun
1423,و س ط,1608,Then penetrate (in the) center,Adjective
1424,ك م ل,1291,"to perfect, to complete",Verb (form IV)
1425,ط ل ب,918,to seek,Verb (form I)
1426,ز ه ر,636,(the) splendor,Noun
1427,ر ي ش,605,and (as) an adornment,Noun
1428,س ي ب,748,a Saibah,Active participle
1429,ف ر ع,1122,and its branches,Noun
1430,أ ي م,89,the single,Noun
1431,ف ق ع,1146,bright,Active participle
1432,د ل ك,479,at the decline,Verbal noun
1433,م ح ل,1374,(in) Strength,Verbal noun
1434,ص ي ص,876,their fortresses,Noun
1435,ح و ب,363,a sin,Noun
1436,أ ث ل,15,tamarisk,Noun
1437,ن و ي,1536,and the date-seed,Noun
1438,ع ر م,977,(of) the dam,Noun
1439,ش غ ف,780,to impassion,Verb (form I)
1440,ن و ن,1535,And Dhun-Nun,Noun
1441,خ م ط,438,bitter,Adjective
1442,س ح ل,668,on the bank,Noun
1443,س و د,739,and would become black,Adjective
1444,غ ر و,1059,"to overpower, to arouse",Verb (form IV)
1445,ه ش م,1555,dry stalks,Noun
1446,ه ر ع,1549,"to rush, to hasten",Verb (form I)
1447,د و ل,495,to alternate,Verb (form III)
1448,خ ب ل,388,(any) ruin,Noun
1449,ب ن ن,159,fingertip[s],Noun
1450,أ س ر,40,"captive, prisoner of war",Noun
1451,خ و ل,445,We bestowed (on) you,Noun
1452,ر ه ن,597,then pledge,Noun
1453,ج ل و,257,to reveal,Verb (form I)
1454,ث ي ب,214,previously married,Adjective
1455,ل ح ي,1324,by my beard,Noun
1456,ر ت ق,531,a joined entity,Noun
1457,ح و ز,368,(to) join,Active participle (form V)
1458,ج ف ن,251,and bowls,Noun
1459,ف ت ق,1103,to part,Verb (form I)
1460,ن ع ق,1490,to shout,Verb (form I)
1461,أ ل ت,55,to deprive,Verb (form I)
1462,ه ي ج,1574,"to wither, to dry",Verb (form I)
1463,ر ط ب,562,moist,Noun
1464,أ ث ث,13,"furnishings, possessions, wealth",Noun
1465,ع ج ف,961,lean ones,Adjective
1466,ع ض ض,999,to bite,Verb (form I)
1467,ل م س,1350,"to touch, to have contact",Verb (form I)
1468,أ ب ل,8,camels,Noun
1469,ح ف و,341,and press you,Noun
1470,م ر أ,1381,an evil man,Noun
1471,ك ل ف,1287,to burden,Verb (form II)
1472,ب ع ر,140,(of) a camel's (load),Noun
1473,ر م د,589,(are) like ashes,Noun
1474,ج م د,259,firmly fixed,Active participle
1475,ت ق ن,186,to perfect,Verb (form IV)
1476,ب ل ع,156,to swallow,Verb (form I)
1477,و ك د,1643,their confirmation,Verbal noun (form II)
1478,ن ك د,1516,(with) difficulty,Noun
1479,ر د ي,550,lest you perish,Active participle (form V)
1480,ح ف د,337,and grandsons,Noun
1481,ج و س,277,to enter,Verb (form I)
1482,و ط ن,1625,regions,Noun
1483,ع ي ب,1042,to cause defect,Verb (form I)
1484,غ ص ب,1065,(by) force,Noun
1485,ش ك س,790,quarreling,Active participle (form VI)
1486,ش م ز,796,to shrink with aversion,Verb (form VIII)
1487,ق ل ع,1224,to withhold,Verb (form IV)
1488,ي ق ظ,1659,awake,Noun
1489,ص ي د,874,to hunt,Verb (form VIII)
1490,س د س,673,the sixth of them,Noun
1491,ر م ن,592,and the pomegranates,Noun
1492,ر ي ب,604,to doubt,Verb (form VIII)
1493,ب س ل,126,to give up to destruction,Verb (form IV)
1494,ن ك ص,1519,to turn,Verb (form I)
1495,ع ز ب,980,to escape,Verb (form I)
1496,ج ز ع,244,"to show intolerance, to be perturbed",Verb (form I)
1497,ش و ي,809,to scald,Verb (form I)
1498,أ ص ر,48,"burden, covenant",Noun
1499,أَمْس,70,"yesterday, the previous day",Noun
1500,م س ح,1391,to wipe,Verb (form I)
1501,غ س ل,1063,to bathe,Verb (form VIII)
1502,و ش ي,1615,blemish,Noun
1503,ج ب ت,217,in the superstition,Noun
1504,ع و ل,1039,to oppress,Verb (form I)
1505,ف ص م,1136,(will) break,Verbal noun (form VII)
1506,غ ل ق,1076,to close,Verb (form II)
1507,ه ي ت,1573,to Come on,Verb (form I)
1508,ع ض ل,1000,"to hinder, to constrain",Verb (form I)
1509,ح و ش,369,Forbid,Noun
1510,ش ي د,813,lofty,Passive participle (form II)
1511,ج و ز,276,"to cross, to pass beyond",Verb (form III)
1512,ش ر ع,769,He has ordained,Noun
1513,ك ر س,1266,His Throne,Noun
1514,ن س أ,1461,his staff,Noun
1515,ح و ذ,366,"to overcome, to have advantage",Verb (form X)
1516,ز م ر,630,(in) groups,Noun
1517,غ و ر,1088,the cave,Noun
1518,و ط ر,1624,necessary (formalities),Noun
1519,ر م ح,588,and your spears,Noun
1520,ذ ه ل,517,to forget,Verb (form I)
1521,ن ض ج,1480,to roast,Verb (form I)
1522,ش و ك,808,(of) the armed,Noun
1523,ن و أ,1527,to burden,Verb (form I)
1524,ش ن أ,799,(the) hatred,Noun
1525,خ ي ط,450,(of) the needle,Noun
1526,ج ز أ,243,a portion,Noun
1527,ع م م,1023,(of) your paternal uncles,Noun
1528,و د ق,1598,the rain,Noun
1529,س ن د,728,propped up,Passive participle (form II)
1530,خ ش ب,408,pieces of wood,Noun
1531,ب ه ل,163,to pray humbly,Verb (form VIII)
1532,ش ح م,759,their fat,Noun
1533,ح ص ح ص,324,to become manifest,Verb (form I)
1534,ض ه أ,896,to imitate,Verb (form III)
1535,ن ج س,1443,(are) unclean,Noun
1536,ج ر ف,240,(of) a cliff,Noun
1537,غ م ض,1083,to close,Verb (form IV)
1538,س ل ب,709,to snatch away,Verb (form I)
1539,ن غ ض,1493,to shake,Verb (form IV)
1540,و ج ب,1587,to be down,Verb (form I)
1541,ق ض ض,1211,to collapse,Verb (form VII)
1542,ب ت ك,94,to cut off,Verb (form II)
1543,م ج س,1371,and the Magians,Passive participle
1544,ر م ز,590,(with) gestures,Verbal noun
1545,ج ذ و,234,a burning wood,Noun
1546,خ ت ر,390,traitor,Adjective
1547,ب س م,127,to smile,Verb (form V)
1548,ق س ط,1199,you will be able to do justice,Noun
1549,م ص ر,1399,in Egypt,Nominal (Noun)
1550,ح ف ر,338,the former state,Noun
1551,ش ف و,785,(the) brink,Noun
1552,م ل ق,1414,poverty,Verbal noun (form IV)
1553,ظ م أ,943,will suffer from thirst,Noun
1554,ق ل د,1223,the garlanded,Noun
1555,غ م ر,1081,agonies,Noun
1556,ز ج ج,611,a glass,Noun
1557,ل ي ت,1362,to deprive,Verb (form I)
1558,ق س س,1198,(are) priests,Noun
1559,م ع ز,1404,the goats,Noun
1560,ض أ ن,878,the sheep,Noun
1561,ح ق ف,343,in the Al-Ahqaf ,Proper noun
1562,خ ب و,389,to subside,Verb (form I)
1563,ج و ف,279,his interior,Noun
1564,ذ و د,518,to keep back,Verb (form I)
1565,س ف ح,694,poured forth,Active participle (form III)
1566,أ و د,84,to tire,Verb (form I)
1567,و س ن,1613,slumber,Noun
1568,ع ز ر,981,"to honour, to assist",Verb (form II)
1569,ن ق ب,1506,so they explored,Noun
1570,ج س م,248,and [the] physique,Noun
1571,س ه ل,734,its plains,Noun
1572,ب ح ث,98,"to search, to scratch",Verb (form I)
1573,ز ر ي,619,to look down,Verb (form VIII)
1574,ف ظ ظ,1142,rude,Noun
1575,ص و ف,871,their wool,Noun
1576,ظ ع ن,939,(of) your travel,Noun
1577,و ب ر,1579,and their fur,Noun
1578,ح ص ر,326,"to hold back, to wrap up",Verb (form IV)
1579,أ م و,76,And a bondwoman,Noun
1580,ش و ر,806,and consult them,Verbal noun (form VI)
1581,ل ح ف,1320,with importunity,Verbal noun (form IV)
1582,ف ج و,1109,the open space,Noun
1583,ن ف ي,1505,to exile,Verb (form I)
1584,ل و ذ,1358,under shelter,Noun
1585,م ي ر,1430,to get provision,Verb (form I)
1586,خ ب ز,386,bread,Noun
1587,ق ط م ر,1217,(as much as) the membrane of a date-seed,Noun
1588,د ن ر,487,with a single coin,Noun
1589,غ ب ن,1049,(of) mutual loss and gain,Verbal noun (form VI)
1590,ب ر ص,116,and the leper,Noun
1591,ك م ه,1293,the blind,Noun
1592,ط ع ن,912,and defame,Noun
1593,ح م ر,353,your donkey,Noun
1594,ك ع ب,1277,the ankles,Noun
1595,ط ف ل,917,(as) a child,Noun
1596,ذ ي ع,520,to spread,Verb (form IV)
1597,ن ب ط,1438,to draw correct conclusion,Verb (form X)
1598,غ ز ل,1060,her spun yarn,Noun
1599,س ر د ق,680,its walls,Noun
1600,ط ف أ,914,"to extinguish, to put out",Verb (form IV)
1601,غ و ط,1090,the toilet,Noun
1602,ط ل ل,922,then a drizzle,Noun
1603,و ك ز,1644,to strike,Verb (form I)
1604,ر غ م,568,place(s) of refuge ,Passive participle (form III)
1605,خ و ي,447,(had) overturned,Active participle (Noun)
1606,ك س و,1273,"to clothe, to cover",Verb (form I)
1607,ن ش ز,1472,to raise,Verb (form IV)
1608,غ ل و,1079,to exceed,Verb (form I)
1609,س ط و,689,to attack,Verb (form I)
1610,ج ل س,255,the assemblies,Noun
1611,ج س س,247,to spy,Verb (form V)
1612,ن ب ز,1437,to call,Verb (form VI)
1613,ل ق ب,1342,by nicknames,Noun
1614,ب ي ع,172,to make commercial transaction,Verb (form VI)
1615,ر س خ,553,And those firm,Active participle
1616,ح ب س,286,to detain,Verb (form I)
1617,ق ش ع ر,1203,to shiver,Verb (form IV)
1618,م ض غ,1400,an embryonic lump,Noun
1619,ب ه ج,162,of beauty (and delight),Adjective
1620,ص غ ر,843,smaller,Noun
1621,ع و ر,1037,private aspects,Noun
1622,غ ز و,1061,fighting,Noun
1623,ح ث ث,291,rapidly,Noun
1624,ه م ن,1566,the Guardian,Active participle (form II) (Noun)
1625,س ل ق,715,to smite,Verb (form I)
1626,خ د ن,394,secret lovers,Noun
1627,ض ج ع,880,their places of death,Noun
1628,ك س د,1270,a decline (in) it,Noun
1629,ح ل ق,347,to shave,Verb (form I)
1630,ه د م,1545,to demolish,Verb (form II)
1631,ص م ع,861,monasteries,Noun
1632,ب د ر,104,and hastily,Verbal noun (form III)
1633,ر ف ث,570,(is) the approach,Noun
1634,ذ خ ر,504,to store,Verb (form VIII)
1635,ص ل د,855,bare,Noun
1636,ح ي ر,375,confused,Noun
1637,ج ي ب,282,their bosoms,Noun
1638,ج ر ر,237,to drag,Verb (form I)
1639,م ع ي,1406,their intestines,Noun
1640,خ ب ط,387,to confound,Verb (form V)
1641,أ س ن,45,polluted,Active participle
1642,ش م ت,794,to rejoice,Verb (form IV)
1643,ع س ل,988,honey,Noun
1644,خ م ص,437,hunger,Noun
1645,ز ل م,629,by divining arrows ,Noun
1646,ب ج س,97,"to gush, to flow",Verb (form VII)
1647,ق ن و,1238,clusters of dates,Noun
1648,ي ن ع,1663,and its ripening,Noun
1649,ج ف أ,250,(as) scum,Noun
1650,ن ع س,1489,slumber,Noun
1651,ب خ س,100,"to diminish, to deprive",Verb (form I)
1652,ن ه ج,1524,and a clear way,Noun
1653,ع د س,965,[and] its lentils,Noun
1654,ق ث أ,1177,[and] its cucumbers,Noun
1655,ب ق ل,149,its herbs,Noun
1656,ف و م,1165,[and] its garlic,Noun
1657,ب ص ل,130,and its onions,Noun
1658,ن ط ح,1484,and that which is gored by horns,Noun
1659,ه م د,1561,barren,Active participle
1660,و ق ذ,1637,and that which is hit fatally,Passive participle
1661,ذ ك و,512,to slaughter,Verb (form II)
1662,خ ن ق,441,and that which is strangled (to death),Active participle (form VII)
1663,س ن ه,731,to change with time,Verb (form V)
1664,س أ م,648,to tire,Verb (form I)
